Relatório de Turnos
Por SISTEMA BOT em 08/11/2025

Código,Descrição,Dia,1ª Entrada prevista,1ª Saída prevista,2ª Entrada prevista,2ª Saída prevista,Ignora feriados,Intervalo flexível,Intervalo pré-assinalado,Saída (Intervalo principal),Retorno (Intervalo principal),Jornada flexível,Limite de horas extras,Status,Tipo,Tolerância em jornada flexível,Turno avançado,Virada do turno
0001,ADM,Domingo,,,,,Não,Sim,Não,,,Sim,23:59,Ativo,Semanal,Não,Não,03:00
0001,ADM,Segunda-feira,08:00,12:00,14:00,18:00,Não,Sim,Não,12:00,14:00,Sim,23:59,Ativo,Semanal,Não,Não,06:00
0001,ADM,Terça-feira,08:00,12:00,14:00,18:00,Não,Sim,Não,12:00,14:00,Sim,23:59,Ativo,Semanal,Não,Não,06:00
0001,ADM,Quarta-feira,08:00,12:00,14:00,18:00,Não,Sim,Não,12:00,14:00,Sim,23:59,Ativo,Semanal,Não,Não,06:00
0001,ADM,Quinta-feira,08:00,12:00,14:00,18:00,Não,Sim,Não,12:00,14:00,Sim,23:59,Ativo,Semanal,Não,Não,06:00
0001,ADM,Sexta-feira,08:00,12:00,14:00,18:00,Não,Sim,Não,12:00,14:00,Sim,23:59,Ativo,Semanal,Não,Não,06:00
0001,ADM,Sábado,08:00,12:00,,,Não,Sim,Não,,,Sim,23:59,Ativo,Semanal,Não,Não,03:00
002,NOTURNO 12x36,Dia 1,18:00,21:00,22:00,06:00,Sim,Sim,Não,21:00,22:00,Sim,23:59,Ativo,12h/36h,Não,Não,08:10
002,NOTURNO 12x36,Folga,,,,,Sim,Sim,Não,,,Sim,23:59,Ativo,12h/36h,Não,Não,08:10
003,TURNO 11 (40H/SEM - 7H/D),Domingo,,,,,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
003,TURNO 11 (40H/SEM - 7H/D),Segunda-feira,08:00,12:00,13:00,16:00,Não,Sim,Não,,,Sim,23:59,Ativo,Semanal,Não,Não,23:59
003,TURNO 11 (40H/SEM - 7H/D),Terça-feira,08:00,12:00,13:00,16:00,Não,Sim,Não,,,Sim,23:59,Ativo,Semanal,Não,Não,23:59
003,TURNO 11 (40H/SEM - 7H/D),Quarta-feira,08:00,12:00,13:00,16:00,Não,Sim,Não,,,Sim,23:59,Ativo,Semanal,Não,Não,23:59
003,TURNO 11 (40H/SEM - 7H/D),Quinta-feira,08:00,12:00,13:00,16:00,Não,Sim,Não,,,Sim,23:59,Ativo,Semanal,Não,Não,23:59
003,TURNO 11 (40H/SEM - 7H/D),Sexta-feira,08:00,12:00,13:00,16:00,Não,Sim,Não,,,Sim,23:59,Ativo,Semanal,Não,Não,23:59
003,TURNO 11 (40H/SEM - 7H/D),Sábado,08:00,13:00,,,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
004,PLANTÃO,Dia 1,22:00,01:00,02:00,06:00,Não,Sim,Não,,,Sim,23:59,Ativo,Customizado,Não,Não,12:00
004,PLANTÃO,Dia 2,,,,,Não,Sim,Não,,,Sim,23:59,Ativo,Customizado,Não,Não,23:59
004,PLANTÃO,Dia 3,,,,,Não,Sim,Não,,,Sim,23:59,Ativo,Customizado,Não,Não,23:59
005,ADM/07:20H-DIA,Domingo,,,,,Não,Sim,Não,,,Sim,23:59,Ativo,Semanal,Não,Não,04:00
005,ADM/07:20H-DIA,Segunda-feira,08:00,12:00,13:00,16:20,Não,Sim,Não,,,Sim,23:59,Ativo,Semanal,Não,Não,04:00
005,ADM/07:20H-DIA,Terça-feira,08:00,12:00,13:00,16:20,Não,Sim,Não,,,Sim,23:59,Ativo,Semanal,Não,Não,04:00
005,ADM/07:20H-DIA,Quarta-feira,08:00,12:00,13:00,16:20,Não,Sim,Não,,,Sim,23:59,Ativo,Semanal,Não,Não,04:00
005,ADM/07:20H-DIA,Quinta-feira,08:00,12:00,13:00,16:20,Não,Sim,Não,,,Sim,23:59,Ativo,Semanal,Não,Não,04:00
005,ADM/07:20H-DIA,Sexta-feira,08:00,12:00,13:00,16:20,Não,Sim,Não,,,Sim,23:59,Ativo,Semanal,Não,Não,04:00
005,ADM/07:20H-DIA,Sábado,08:00,12:00,13:00,16:20,Não,Sim,Não,,,Sim,23:59,Ativo,Semanal,Não,Não,04:00
0006,AVISO/REDUÇÃO(ADM),Domingo,,,,,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
0006,AVISO/REDUÇÃO(ADM),Segunda-feira,08:00,12:00,13:00,15:00,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
0006,AVISO/REDUÇÃO(ADM),Terça-feira,08:00,12:00,13:00,15:00,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
0006,AVISO/REDUÇÃO(ADM),Quarta-feira,08:00,12:00,13:00,15:00,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
0006,AVISO/REDUÇÃO(ADM),Quinta-feira,08:00,12:00,13:00,15:00,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
0006,AVISO/REDUÇÃO(ADM),Sexta-feira,08:00,12:00,13:00,15:00,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
0006,AVISO/REDUÇÃO(ADM),Sábado,08:00,10:00,,,Não,Sim,Não,,,Sim,02:00,Ativo,Semanal,Não,Não,23:59
011,TURNO 17 ( 6 H/seg a sex ),Domingo,,,,,Não,Sim,Não,,,Sim,00:00,Ativo,Semanal,Não,Não,23:59
011,TURNO 17 ( 6 H/seg a sex ),Segunda-feira,08:00,11:45,12:00,14:15,Não,Sim,Não,11:45,12:00,Sim,00:00,Ativo,Semanal,Não,Não,23:59
011,TURNO 17 ( 6 H/seg a sex ),Terça-feira,08:00,11:45,12:00,14:15,Não,Sim,Não,11:45,12:00,Sim,00:00,Ativo,Semanal,Não,Não,23:59
011,TURNO 17 ( 6 H/seg a sex ),Quarta-feira,08:00,11:45,12:00,14:15,Não,Sim,Não,11:45,12:00,Sim,00:00,Ativo,Semanal,Não,Não,23:59
011,TURNO 17 ( 6 H/seg a sex ),Quinta-feira,08:00,11:45,12:00,14:15,Não,Sim,Não,11:45,12:00,Sim,00:00,Ativo,Semanal,Não,Não,23:59
011,TURNO 17 ( 6 H/seg a sex ),Sexta-feira,08:00,11:45,12:00,14:15,Não,Sim,Não,11:45,12:00,Sim,00:00,Ativo,Semanal,Não,Não,23:59
011,TURNO 17 ( 6 H/seg a sex ),Sábado,,,,,Não,Sim,Não,,,Sim,00:00,Ativo,Semanal,Não,Não,23:59
012,TURNO DE 06:20h,Domingo,07:00,12:00,13:00,14:20,Não,Sim,Não,12:00,13:00,Sim,23:59,Ativo,Semanal,Não,Não,23:59
012,TURNO DE 06:20h,Segunda-feira,07:00,12:00,13:00,14:20,Não,Sim,Não,12:00,13:00,Sim,23:59,Ativo,Semanal,Não,Não,23:59
012,TURNO DE 06:20h,Terça-feira,07:00,12:00,13:00,14:20,Não,Sim,Não,12:00,13:00,Sim,23:59,Ativo,Semanal,Não,Não,23:59
